
   INFO  Server running on [http://0.0.0.0:8001].  

  Press Ctrl+C to stop the server
  2025-10-26 22:19:43 /api/v1/garden/my-garden ..................... ~ 0.02ms
  2025-10-26 22:19:43 /api/v1/garden/my-garden ................... ~ 505.41ms
  2025-10-26 22:19:43 /api/v1/garden/plant-types ................... ~ 0.11ms
  2025-10-26 22:19:43 /api/v1/garden/achievements .................. ~ 1.08ms
  2025-10-26 22:19:43 /api/v1/garden/challenges/today .............. ~ 1.95ms
  2025-10-26 22:19:43 /api/v1/garden/plant-types ................... ~ 0.09ms
  2025-10-26 22:19:43 /api/v1/garden/achievements .................. ~ 1.06ms
  2025-10-26 22:19:43 /api/v1/garden/challenges/today .............. ~ 0.95ms
  2025-10-26 22:19:43 /api/v1/course-integration/learning-progress . ~ 0.07ms
  2025-10-26 22:19:44 /api/v1/course-integration/learning-progress . ~ 0.07ms
  2025-10-26 22:19:44 /api/v1/course-integration/learning-progress . ~ 0.07ms
  2025-10-26 22:19:44 /api/v1/course-integration/learning-progress . ~ 0.05ms
  2025-10-26 22:21:08 /api/v1/auth/me .............................. ~ 0.58ms
  2025-10-26 22:21:08 /api/v1/auth/me .............................. ~ 0.03ms
  2025-10-26 22:21:08 /api/v1/garden/my-garden ..................... ~ 0.03ms
  2025-10-26 22:21:08 /api/v1/garden/my-garden ..................... ~ 0.02ms
  2025-10-26 22:21:08 /api/v1/garden/plant-types ................... ~ 0.03ms
  2025-10-26 22:21:08 /api/v1/garden/achievements .................. ~ 0.35ms
  2025-10-26 22:21:08 /api/v1/garden/challenges/today .............. ~ 0.64ms
  2025-10-26 22:21:08 /api/v1/garden/plant-types ................. ~ 506.50ms
  2025-10-26 22:21:08 /api/v1/garden/achievements ................ ~ 507.41ms
  2025-10-26 22:21:08 /api/v1/garden/challenges/today .............. ~ 0.74ms
  2025-10-26 22:21:08 /api/v1/course-integration/learning-progress . ~ 0.05ms
